id,imei_no,sim_no,log,lat,datetime
32704,hhhhh,111111,28.495553,77.305623,03-17-2021 09:56:17
32705,hhhhh,111111,28.495555,77.305622,03-17-2021 09:56:32
32706,hhhhh,111111,28.495557,77.305620,03-17-2021 09:56:47
32707,hhhhh,111111,28.495555,77.305620,03-17-2021 09:57:02
32708,hhhhh,111111,28.495550,77.305620,03-17-2021 09:57:17
32709,hhhhh,111111,28.495550,77.305630,03-17-2021 09:57:32
32710,hhhhh,111111,28.495552,77.305633,03-17-2021 09:57:47
32711,hhhhh,111111,28.495550,77.305637,03-17-2021 09:58:02
32712,hhhhh,111111,28.495563,77.305635,03-17-2021 09:58:38
32713,hhhhh,111111,28.495530,77.305660,03-17-2021 10:10:18
32714,hhhhh,111111,28.495530,77.305663,03-17-2021 10:10:33
32715,hhhhh,111111,28.495532,77.305658,03-17-2021 10:10:48
32716,hhhhh,111111,28.495532,77.305657,03-17-2021 10:11:03
32717,hhhhh,111111,28.495530,77.305657,03-17-2021 10:11:19
32718,hhhhh,111111,28.495528,77.305660,03-17-2021 10:11:33
32719,hhhhh,111111,28.495527,77.305660,03-17-2021 10:11:48
32720,hhhhh,111111,28.495528,77.305653,03-17-2021 10:12:03
32721,hhhhh,111111,28.495530,77.305657,03-17-2021 10:12:18
32722,hhhhh,111111,28.495532,77.305658,03-17-2021 10:12:34
32723,hhhhh,111111,28.495537,77.305662,03-17-2021 10:13:03
32724,hhhhh,111111,28.495540,77.305665,03-17-2021 10:13:18
32725,hhhhh,111111,28.495543,77.305665,03-17-2021 10:13:33
32726,hhhhh,111111,28.495547,77.305662,03-17-2021 10:13:48
32727,hhhhh,111111,28.495545,77.305662,03-17-2021 10:14:03
32728,hhhhh,111111,28.495543,77.305658,03-17-2021 10:14:19
32729,hhhhh,111111,28.495543,77.305650,03-17-2021 10:14:37
32730,hhhhh,111111,28.495542,77.305635,03-17-2021 10:15:18
32731,hhhhh,111111,28.495542,77.305642,03-17-2021 10:15:33
32732,hhhhh,111111,28.495540,77.305637,03-17-2021 10:15:48
32733,hhhhh,111111,28.495540,77.305637,03-17-2021 10:16:04
32734,hhhhh,111111,28.495540,77.305633,03-17-2021 10:16:23
32735,hhhhh,111111,28.495542,77.305623,03-17-2021 10:17:04
32736,hhhhh,111111,28.495543,77.305625,03-17-2021 10:17:21
32737,hhhhh,111111,28.495545,77.305623,03-17-2021 10:17:34
32738,hhhhh,111111,28.495548,77.305613,03-17-2021 10:17:49
32739,hhhhh,111111,28.495552,77.305607,03-17-2021 10:18:04
32740,hhhhh,111111,28.495555,77.305630,03-17-2021 10:18:18
32741,hhhhh,111111,28.495558,77.305645,03-17-2021 10:18:33
32742,hhhhh,111111,28.495560,77.305630,03-17-2021 10:18:53
32743,hhhhh,111111,28.495563,77.305630,03-17-2021 10:19:18
32744,hhhhh,111111,28.495562,77.305648,03-17-2021 10:19:33
32745,hhhhh,111111,28.495553,77.305640,03-17-2021 10:19:50
32746,hhhhh,111111,28.495552,77.305643,03-17-2021 10:20:03
32747,hhhhh,111111,28.495548,77.305647,03-17-2021 10:20:18
32748,hhhhh,111111,28.495550,77.305640,03-17-2021 10:20:35
32749,hhhhh,111111,28.495545,77.305643,03-17-2021 10:20:49
32750,hhhhh,111111,28.495547,77.305643,03-17-2021 10:21:05
32751,hhhhh,111111,28.495543,77.305638,03-17-2021 10:21:18
32752,hhhhh,111111,28.495545,77.305625,03-17-2021 10:21:33
32753,hhhhh,111111,28.495548,77.305622,03-17-2021 10:21:48
32754,hhhhh,111111,28.495550,77.305627,03-17-2021 10:22:03
32755,hhhhh,111111,28.495555,77.305635,03-17-2021 10:22:18
32756,hhhhh,111111,28.495555,77.305642,03-17-2021 10:22:33
32757,hhhhh,111111,28.495553,77.305642,03-17-2021 10:22:48
