division_id,school_code,medium_name,class_name,division_name,created_on
190,sbsy28,English,4,A,2021-03-10 06:18:16.930624+00:00
191,sbsy28,English,5,A,2021-03-10 06:18:16.936776+00:00
192,sbsy28,English,6,A,2021-03-10 06:18:16.943072+00:00
193,sbsy28,English,7,A,2021-03-10 06:18:16.949340+00:00
194,sbsy28,English,8,A,2021-03-10 06:18:16.955480+00:00
195,sbsy29,English,1,A,2021-03-12 07:01:27.656443+00:00
196,sbsy29,English,2,A,2021-03-12 07:01:27.661203+00:00
197,sbsy29,English,3,A,2021-03-12 07:01:27.665802+00:00
198,sbsy29,English,4,A,2021-03-12 07:01:27.670371+00:00
199,sbsy29,English,5,A,2021-03-12 07:01:27.674940+00:00
200,sbsy29,English,6,A,2021-03-12 07:01:27.679515+00:00
201,sbsy29,English,7,A,2021-03-12 07:01:27.684090+00:00
202,sbsy29,English,8,A,2021-03-12 07:01:27.688709+00:00
203,sbsy31,English,1,A,2021-03-12 11:11:14.811591+00:00
204,sbsy31,English,2,A,2021-03-12 11:11:14.873031+00:00
205,sbsy31,English,3,A,2021-03-12 11:11:14.936094+00:00
206,sbsy31,English,4,A,2021-03-12 11:11:14.997992+00:00
207,sbsy31,English,5,A,2021-03-12 11:11:15.064963+00:00
208,sbsy31,English,6,A,2021-03-12 11:11:15.126974+00:00
209,sbsy31,English,7,A,2021-03-12 11:11:15.189961+00:00
210,sbsy31,English,8,A,2021-03-12 11:11:15.251952+00:00
211,sbsy32,English,1,A,2021-03-13 05:33:22.208325+00:00
212,sbsy32,English,2,A,2021-03-13 05:33:22.269729+00:00
213,sbsy32,English,3,A,2021-03-13 05:33:22.332877+00:00
214,sbsy32,English,4,A,2021-03-13 05:33:22.394743+00:00
215,sbsy32,English,5,A,2021-03-13 05:33:22.458752+00:00
216,sbsy32,English,6,A,2021-03-13 05:33:22.519864+00:00
217,sbsy32,English,7,A,2021-03-13 05:33:22.582751+00:00
218,sbsy32,English,8,A,2021-03-13 05:33:22.645724+00:00
219,sbsy33,English,1,A,2021-03-13 06:54:31.633343+00:00
220,sbsy33,English,2,A,2021-03-13 06:54:31.695776+00:00
221,sbsy33,English,3,A,2021-03-13 06:54:31.757770+00:00
222,sbsy33,English,4,A,2021-03-13 06:54:31.820036+00:00
223,sbsy33,English,5,A,2021-03-13 06:54:31.882804+00:00
224,sbsy33,English,6,A,2021-03-13 06:54:31.945781+00:00
225,sbsy33,English,7,A,2021-03-13 06:54:32.007822+00:00
226,sbsy33,English,8,A,2021-03-13 06:54:32.069768+00:00
227,sbsy34,English,1,A,2021-03-15 02:07:53.361745+00:00
228,sbsy34,English,2,A,2021-03-15 02:07:53.424182+00:00
229,sbsy34,English,3,A,2021-03-15 02:07:53.486200+00:00
230,sbsy34,English,4,A,2021-03-15 02:07:53.548183+00:00
231,sbsy34,English,5,A,2021-03-15 02:07:53.611173+00:00
232,sbsy34,English,6,A,2021-03-15 02:07:53.673561+00:00
233,sbsy34,English,7,A,2021-03-15 02:07:53.736135+00:00
234,sbsy34,English,8,A,2021-03-15 02:07:53.798130+00:00
235,sbsy33,English,Nursery,A,2021-03-15 06:04:58.053839+00:00
236,sbsy35,English,1,A,2021-03-17 04:55:54.741292+00:00
237,sbsy35,English,2,A,2021-03-17 04:55:54.802636+00:00
238,sbsy35,English,3,A,2021-03-17 04:55:54.865642+00:00
239,sbsy35,English,4,A,2021-03-17 04:55:54.927672+00:00
240,sbsy35,English,5,A,2021-03-17 04:55:54.990778+00:00
241,sbsy35,English,6,A,2021-03-17 04:55:55.052649+00:00
242,sbsy35,English,7,A,2021-03-17 04:55:55.115650+00:00
243,sbsy35,English,8,A,2021-03-17 04:55:55.177652+00:00
244,sbsy35,Hindi,1,A,2021-03-17 04:55:55.271619+00:00
245,sbsy35,Hindi,2,A,2021-03-17 04:55:55.335725+00:00
246,sbsy35,Hindi,3,A,2021-03-17 04:55:55.396646+00:00
247,sbsy35,Hindi,4,A,2021-03-17 04:55:55.459706+00:00
248,sbsy35,Hindi,5,A,2021-03-17 04:55:55.521681+00:00
249,sbsy35,Hindi,6,A,2021-03-17 04:55:55.584660+00:00
250,sbsy35,Hindi,7,A,2021-03-17 04:55:55.646752+00:00
251,sbsy35,Hindi,8,A,2021-03-17 04:55:55.710787+00:00
252,sbsy36,English,1,A,2021-03-17 06:28:59.992111+00:00
253,sbsy36,English,2,A,2021-03-17 06:29:00.053669+00:00
254,sbsy36,English,3,A,2021-03-17 06:29:00.127656+00:00
255,sbsy36,English,4,A,2021-03-17 06:29:00.190584+00:00
256,sbsy36,English,5,A,2021-03-17 06:29:00.252699+00:00
257,sbsy36,English,6,A,2021-03-17 06:29:00.315592+00:00
258,sbsy36,English,7,A,2021-03-17 06:29:00.378639+00:00
259,sbsy36,English,8,A,2021-03-17 06:29:00.440604+00:00
260,sbsy33,English,L.K.G,A,2021-03-19 07:38:01.868036+00:00
261,sbsy33,English,U.K.G,A,2021-03-19 07:38:17.317508+00:00
